client_id,total_samples,class_0_airplane,class_1_automobile,class_2_bird,class_3_cat,class_4_deer,class_5_dog,class_6_frog,class_7_horse,class_8_ship,class_9_truck
0,7528,721,2882,1164,454,808,33,209,161,148,948
1,6729,1149,645,160,2,33,337,1841,1311,1251,0
2,1560,8,18,562,66,30,113,508,23,212,20
3,7754,678,548,913,1778,255,2687,143,108,627,17
4,5373,14,83,621,5,116,1262,1438,634,555,645
5,4919,124,173,225,123,18,26,135,2197,1852,46
6,4219,402,13,20,451,2334,6,67,205,12,709
7,2882,279,40,530,701,91,392,639,172,19,19
8,6894,956,150,345,1419,1056,39,12,133,293,2491
9,2142,669,448,460,1,259,105,8,56,31,105
