client_id,total_samples,class_0_airplane,class_1_automobile,class_2_bird,class_3_cat,class_4_deer,class_5_dog,class_6_frog,class_7_horse,class_8_ship,class_9_truck
0,5077,823,55,890,350,807,233,345,265,1186,123
1,6413,799,853,160,1140,842,14,439,643,260,1263
2,7209,817,1356,1312,639,656,110,482,865,122,850
3,4581,96,303,876,215,45,866,1694,141,128,217
4,6130,29,964,468,416,686,2633,673,22,107,132
5,4003,498,121,297,578,820,371,525,394,49,350
6,5227,482,71,324,311,679,187,333,1089,1550,201
7,3087,1070,247,55,290,170,262,189,350,405,49
8,3689,27,706,128,793,194,238,14,909,348,332
9,4584,359,324,490,268,101,86,306,322,845,1483
