client_id,total_samples,class_0_airplane,class_1_automobile,class_2_bird,class_3_cat,class_4_deer,class_5_dog,class_6_frog,class_7_horse,class_8_ship,class_9_truck
0,5000,490,487,463,447,513,517,526,539,502,516
1,5000,521,482,544,511,501,504,484,467,487,499
2,5000,514,474,517,507,500,488,499,522,480,499
3,5000,506,507,476,489,484,513,544,471,510,500
4,5000,486,535,476,545,468,485,500,510,480,515
5,5000,466,498,524,507,530,488,476,489,508,514
6,5000,486,501,518,519,515,502,483,510,499,467
7,5000,503,513,474,513,520,497,479,490,492,519
8,5000,525,508,506,477,485,505,481,506,525,482
9,5000,503,495,502,485,484,501,528,496,517,489
